temperature,humidity,rainfall
36.4,31.2,2.0
27.4,65.1,5.5
35.7,74.9,3.3
-0.2,22.7,8.8
20.6,71.3,4.1
-4.3,38.8,1.1
-6.3,98.9,1.1
26.6,21.8,5.0
22.3,28.9,2.2
-8.9,25.6,3.7
28.9,40.5,1.1
28.2,99.2,17.2
17.7,81.5,3.8
32.6,45.5,10.0
6.5,89.3,3.6
-3.0,45.0,1.2
12.7,56.5,6.6
28.7,69.2,4.1
13.3,53.1,2.9
33.2,40.4,3.1
12.8,95.0,2.3
-6.1,41.8,36.3
8.3,23.5,4.1
34.7,92.6,4.7
28.8,58.5,3.2
-7.5,40.7,4.3
20.1,78.8,3.9
-6.4,85.4,2.4
31.1,22.2,0.6
30.2,62.5,4.9
-5.0,22.4,15.8
18.9,83.4,0.4
37.7,24.0,2.5
26.9,60.2,1.0
39.6,22.0,4.2
-3.0,33.5,3.6
-7.1,86.8,17.5
18.0,42.8,1.7
33.7,46.4,17.1
28.7,74.1,2.3
16.8,53.2,4.6
18.8,52.5,13.6
-0.6,60.8,49.6
-3.8,90.1,9.5
35.2,96.3,4.6
-9.9,88.0,5.2
34.0,96.0,13.5
27.2,55.5,17.0
-1.5,34.9,3.8
37.9,38.1,17.8
-6.0,20.1,0.5
30.7,58.5,18.5
39.5,100.0,3.2
6.3,80.7,3.7
29.3,70.2,2.0
20.3,65.6,16.7
31.0,36.3,2.0
3.4,88.0,8.1
-8.2,23.0,14.1
0.2,61.8,19.5
-2.9,25.9,15.4
14.5,64.7,0.8
39.3,70.9,2.9
35.8,58.8,19.1
17.2,45.0,11.8
36.0,99.6,0.0
-0.5,90.7,3.6
23.5,39.7,3.5
-1.4,65.6,4.8
-7.3,39.6,3.6
-3.2,52.9,2.7
29.2,78.3,0.8
10.5,60.6,0.6
9.2,71.5,4.9
29.1,34.9,3.9
9.0,93.4,14.9
34.9,47.4,0.1
9.5,68.5,2.7
37.7,24.8,1.5
11.3,56.8,4.0
-0.5,78.0,0.4
13.2,43.3,20.2
31.1,23.9,7.4
-4.2,75.5,3.6
19.5,88.4,1.1
37.7,75.1,1.4
-4.1,90.6,10.3
22.0,44.8,2.7
32.0,61.1,2.6
-9.4,91.6,13.3
-1.8,29.3,4.5
8.8,60.4,16.1
-7.7,69.7,4.4
11.4,48.1,14.5
22.8,26.1,3.9
15.6,97.0,3.4
15.8,94.6,0.4
34.5,53.1,12.0
-4.2,54.1,0.7
14.0,77.7,5.0
